date,open,high,low,close,volume
2019-06-03,43.32,43.39,42.1,42.38,6711225
2019-06-04,42.98,43.64,42.25,43.61,7621645
2019-06-05,43.77,44.68,43.49,44.52,5769167
2019-06-06,44.15,44.74,43.7,44.08,4698969
2019-06-07,44.28,45.63,44.055,45.38,6785927
2019-06-10,45.77,46.47,45.2,46.01,6405415
2019-06-11,46.49,47.06,46.19,46.7,6679771
2019-06-12,46.46,46.53,44.97,45.09,6155396
2019-06-13,45.45,46.11,45.08,46.05,6204668
2019-06-14,45.8,45.96,45.12,45.62,4629386
2019-06-17,45.7,45.95,45.0,45.07,7710006
2019-06-18,45.55,46.48,45.33,45.77,6838999
2019-06-19,45.77,45.77,44.585,45.33,5441915
2019-06-20,45.99,46.33,45.45,45.67,4574795
2019-06-21,45.53,45.94,45.19,45.91,7895535
2019-06-24,45.64,47.21,45.64,47.15,7300048
2019-06-25,47.07,47.49,45.66,46.2,8688594
2019-06-26,46.36,47.465,46.21,46.73,5328656
2019-06-27,47.09,47.57,46.52,47.28,6918586
2019-06-28,47.5,47.73,46.56,47.2,15179139
2019-07-01,47.88,48.46,47.205,47.5,5124250
2019-07-02,47.96,48.815,47.69,47.98,6683147
2019-07-03,48.05,48.79,47.73,48.66,4024735
2019-07-05,48.33,48.35,46.64,48.15,6379678
2019-07-08,47.8,47.91,46.225,46.47,7681059
2019-07-09,46.17,46.705,45.725,46.37,4349870
2019-07-10,46.9,47.37,46.57,46.84,4476191
2019-07-11,46.92,47.58,46.43,47.34,5206247
2019-07-12,47.63,47.67,47.04,47.2,3707625
2019-07-15,47.26,47.85,46.88,47.66,4361724
2019-07-16,47.61,47.66,46.66,46.99,4876920
2019-07-17,46.92,47.32,46.43,46.68,4791177
2019-07-18,46.45,46.5,45.49,45.72,8158470
2019-07-19,46.0,46.11,45.09,45.14,5514644
2019-07-22,45.33,45.6,44.8101,45.57,3771763
2019-07-23,45.82,45.93,45.29,45.92,3774521
2019-07-24,45.71,46.99,45.69,46.86,3664420
2019-07-25,47.36,47.4,46.36,47.19,4353999
2019-07-26,47.48,48.225,47.16,47.99,5839706
2019-07-29,48.0,48.525,47.08,48.45,4750861
2019-07-30,48.1,48.36,47.5,48.29,4904995
2019-07-31,48.79,49.9297,48.38,48.74,8712326
2019-08-01,48.93,51.24,48.81,50.19,10901779
2019-08-02,49.8,51.35,48.65,49.02,9745008
2019-08-05,47.87,47.95,45.515,46.1,10855082
2019-08-06,47.45,47.59,46.3846,46.59,7171514
2019-08-07,46.11,48.23,46.1,48.1,7468459
2019-08-08,48.41,49.565,47.91,49.33,8935876
2019-08-09,48.76,49.09,47.11,48.06,10794030
2019-08-12,46.99,48.24,46.47,47.08,6292119
2019-08-13,46.99,48.37,46.47,48.13,5263316
2019-08-14,47.09,47.27,45.0,45.26,9156176
2019-08-15,45.53,45.73,44.91,45.51,6013685
2019-08-16,45.94,47.17,45.79,46.66,5801282
2019-08-19,47.55,48.3,47.28,47.92,5522828
2019-08-20,47.67,49.04,47.5,48.8,5863315
2019-08-21,49.1,49.54,48.71,49.04,4001823
2019-08-22,49.29,49.29,48.33,49.08,4002846
2019-08-23,48.6,49.38,47.16,47.33,7126115
2019-08-26,47.99,48.7,47.53,48.69,5200812
2019-08-27,50.5,52.22,49.9606,51.09,18226103
